episode,episode_length,episode_return
0,250,-110
1,250,-72
2,250,-68
3,250,-50
4,250,-28
5,250,6
6,250,-38
7,222,26
8,227,-3
9,250,14
10,250,42
11,242,6
12,243,17
13,231,23
14,232,4
15,242,24
16,250,26
17,250,-12
18,193,29
19,250,4
20,202,38
21,192,38
22,223,-13
23,219,33
24,250,30
25,212,36
26,241,41
27,206,32
28,217,23
29,224,-2
30,250,28
31,196,50
32,200,26
33,217,31
34,250,32
35,212,34
36,215,41
37,209,27
38,243,37
39,209,29
40,191,25
41,191,23
42,229,29
43,212,38
44,198,30
45,211,37
46,238,24
47,205,43
48,227,31
49,200,30
50,206,34
51,234,52
52,175,43
53,194,28
54,181,29
55,176,28
56,198,46
57,224,26
58,200,42
59,196,22
60,180,44
61,205,23
62,194,20
63,155,33
64,204,38
65,209,21
66,232,30
67,176,38
68,206,38
69,225,31
70,207,13
71,225,33
72,215,23
73,212,12
74,189,35
75,189,19
76,192,30
77,186,14
78,201,21
79,183,41
80,177,31
81,227,31
82,166,36
83,197,37
84,210,24
85,183,33
86,201,45
87,215,27
88,220,14
89,224,46
90,204,32
91,184,36
92,218,22
93,202,40
94,206,42
95,230,24
96,211,33
97,250,44
98,190,26
99,243,31
